old_circuit_id,new_circuit_id,upgrade_type,old_gesac_id,new_gesac_id
SPSI000313,SPSF000023,In-Person,,110653
SPSI000150,SPSF000024,In-Person,,110654
SPSI000024,SPSF000025,In-Person,,110655
SPSI000192,SPSF000026,In-Person,,110657
SPSI000374,SPSF000027,In-Person,,110659
SPSI000375,SPSF000028,In-Person,,110660
SPSI000376,SPSF000029,In-Person,,110661
SPSI000377,SPSF000030,In-Person,,110662
SPSI000018,SPSF000031,In-Person,,110663
SPSI000019,SPSF000032,In-Person,,110664
SPSI000020,SPSF000033,In-Person,,110665
SPSI000022,SPSF000034,In-Person,,110666
SPSI000255,SPSF000035,In-Person,,110667
SPSI000143,SPSF000036,In-Person,,110669
SPSI000176,SPSF000037,In-Person,,110670
SPSI000267,SPSF000038,In-Person,,110671
SPSI000078,SPSF000039,In-Person,,110673
SPSI000188,SPSF000040,In-Person,,110675
SPSI000186,SPSF000041,In-Person,,110676
SPSI000256,SPSF000042,In-Person,,110677
SPSI000135,SPSF000043,In-Person,,110678
SPSI000147,SPSF000044,In-Person,,110679
SPSI000131,SPSF000045,In-Person,,110680
SPSI000014,SPSF000046,In-Person,,110681
SPSI000194,SPSF000047,In-Person,,110682
SPSI000195,SPSF000048,In-Person,,110683
SPSI000233,SPSF000049,In-Person,,110684
SPSI000124,SPSF000050,In-Person,,110686
SPSI000337,SPSF000051,In-Person,,110688
SPSI000340,SPSF000052,In-Person,,110689
SPSI000341,SPSF000053,In-Person,,110690
SPSI000012,SPSF000054,In-Person,,110691
SPSI000318,SPSF000055,In-Person,,110692
SPSI000319,SPSF000056,In-Person,,110693
SPSI000320,SPSF000057,In-Person,,110695
SPSI000322,SPSF000058,In-Person,,110697
SPSI000330,SPSF000059,In-Person,,110698
SPSI000323,SPSF000060,In-Person,,110699
SPSI000329,SPSF000061,In-Person,,110700
SPSI000327,SPSF000062,In-Person,,110701
SPSI000325,SPSF000063,In-Person,,110703
SPSI000324,SPSF000064,In-Person,,110704
SPSI000328,SPSF000065,In-Person,,110705
SPSI000247,SPSF000066,In-Person,,110706
SPSI000249,SPSF000067,In-Person,,110707
SPSI000074,SPSF000068,In-Person,,110708
SPSI000309,SPSF000069,In-Person,,110709
SPSI000310,SPSF000070,In-Person,,110710
SPSI000343,SPSF000071,In-Person,,110711
SPSI000394,SPSF000072,In-Person,,110712
SPSI000395,SPSF000073,In-Person,,110713
SPSI000396,SPSF000074,In-Person,,110714
SPSI000235,SPSF000075,In-Person,,110715
SPSI000260,SPSF000076,In-Person,,110716
SPSI000204,SPSF000077,In-Person,,110717
SPSI000052,SPSF000078,In-Person,,110718
