circuit_id,migrated_at
ALSI000022,2024-01-29
ALSI000689,2024-01-29
ALSI001044,2024-01-29
ALSI001045,2024-01-29
ALSI001046,2024-01-29
ALSI001049,2024-01-29
ALSI001050,2024-01-29
ALSI001061,2024-01-29
ALSI001063,2024-01-29
ALSI001066,2024-01-29
ALSI001068,2024-01-29
ALSI001070,2024-01-29
ALSI001071,2024-01-29
ALSI001072,2024-01-29
ALSI001073,2024-01-29
ALSI001074,2024-01-29
ALSI001075,2024-01-29
ALSI001077,2024-01-29
ALSI001078,2024-01-29
ALSI001079,2024-01-29
ALSI001080,2024-01-29
ALSI001083,2024-01-29
ALSI001085,2024-01-29
ALSI001088,2024-01-29
ALSI001089,2024-01-29
ALSI001097,2024-01-29
ALSI001098,2024-01-29
ALSI001100,2024-01-29
ALSI001101,2024-01-29
ALSI001102,2024-01-29
ALSI001103,2024-01-29
ALSI001106,2024-01-29
ALSI001107,2024-01-29
ALSI001108,2024-01-29
ALSI001109,2024-01-29
ALSI001110,2024-01-29
ALSI001112,2024-01-29
ALSI001113,2024-01-29
ALSI001118,2024-01-29
ALSI001123,2024-01-29
ALSI001126,2024-01-29
ALSI001134,2024-01-29
ALSI001135,2024-01-29
ALSI001138,2024-01-29
ALSI001143,2024-01-29
ALSI001222,2024-01-29
BASI000499,2024-01-29
BASI000741,2024-01-29
BASI000896,2024-01-29
BASI000912,2024-01-30
BASI001252,2024-01-29
BASI001588,2024-01-29
BASI002020,2024-01-29
BASI002133,2024-01-30
BASI002200,2024-01-29
BASI002202,2024-01-29
BASI002203,2024-01-29
BASI002209,2024-01-29
BASI002213,2024-01-29
BASI002214,2024-01-29
BASI002215,2024-01-29
BASI002216,2024-01-29
BASI002226,2024-01-29
BASI002227,2024-01-29
BASI002232,2024-01-29
BASI002233,2024-01-29
BASI002234,2024-01-29
BASI002235,2024-01-29
BASI002236,2024-01-29
BASI002237,2024-01-29
BASI002239,2024-01-29
BASI002240,2024-01-29
BASI002241,2024-01-29
BASI002242,2024-01-29
BASI002245,2024-01-29
BASI002246,2024-01-29
BASI002247,2024-01-29
BASI002248,2024-01-29
BASI002250,2024-01-29
BASI002251,2024-01-29
BASI002252,2024-01-29
BASI002253,2024-01-29
BASI002254,2024-01-29
BASI002255,2024-01-29
BASI002256,2024-01-29
BASI002259,2024-01-29
BASI002260,2024-01-29
BASI002261,2024-01-29
BASI002262,2024-01-29
BASI002263,2024-01-29
BASI002264,2024-01-29
BASI002269,2024-01-29
BASI002272,2024-01-29
BASI002275,2024-01-29
BASI002276,2024-01-29
BASI002278,2024-01-29
BASI002279,2024-01-29
BASI002280,2024-01-29
BASI002282,2024-01-29
BASI002582,2024-01-29
BASI002673,2024-01-29
BASI002428,2024-01-29
BASI002429,2024-01-29
BASI002692,2024-01-29
BASI002846,2024-01-29
BASI003008,2024-01-29
BASI003956,2024-01-29
BASI003949,2024-01-29
BASI003947,2024-01-29
BASI004065,2024-01-29
BASI002682,2024-01-29
BASI003299,2024-01-29
BASI003318,2024-01-29
BASI002646,2024-01-29
BASI002653,2024-01-29
BASI002683,2024-01-29
BASI002693,2024-01-29
BASI002982,2024-01-29
BASI003031,2024-01-29
BASI002430,2024-01-29
BASI003937,2024-01-29
BASI003940,2024-01-29
BASI002565,2024-01-29
BASI002610,2024-01-29
BASI002661,2024-01-29
BASI002707,2024-01-29
BASI002722,2024-01-29
BASI002723,2024-01-29
BASI002762,2024-01-29
BASI002763,2024-01-29
BASI002847,2024-01-29
BASI002878,2024-01-29
BASI002897,2024-01-29
BASI002898,2024-01-29
BASI002983,2024-01-29
BASI002764,2024-01-29
BASI004078,2024-01-29
BASI003347,2024-01-29
BASI002576,2024-01-29
BASI002730,2024-01-29
BASI002848,2024-01-29
BASI003943,2024-01-29
BASI003945,2024-01-29
BASI003970,2024-01-29
BASI002283,2024-01-29
BASI002627,2024-01-29
BASI002674,2024-01-29
BASI002986,2024-01-29
BASI003053,2024-01-29
BASI002863,2024-01-29
BASI002879,2024-01-29
BASI003054,2024-01-29
BASI002296,2024-01-29
BASI002297,2024-01-29
BASI002298,2024-01-29
BASI002583,2024-01-29
BASI003848,2024-01-29
BASI002850,2024-01-29
BASI003084,2024-01-29
BASI002953,2024-01-29
BASI003474,2024-01-29
BASI003330,2024-01-29
BASI002577,2024-01-29
BASI002602,2024-01-29
BASI002654,2024-01-29
BASI002662,2024-01-29
BASI002935,2024-01-29
BASI002954,2024-01-29
BASI002955,2024-01-29
BASI002989,2024-01-29
BASI003166,2024-01-29
BASI003933,2024-01-29
BASI003089,2024-01-29
BASI003252,2024-01-29
BASI003304,2024-01-29
BASI002568,2024-01-29
BASI002881,2024-01-29
BASI002936,2024-01-29
BASI002956,2024-01-29
BASI003035,2024-01-29
BASI002300,2024-01-29
BASI003380,2024-01-29
BASI002632,2024-01-29
BASI002834,2024-01-29
BASI002851,2024-01-29
BASI002918,2024-01-29
BASI002302,2024-01-29
BASI002303,2024-01-29
BASI002305,2024-01-29
BASI002307,2024-01-29
BASI002308,2024-01-29
BASI002309,2024-01-29
BASI002311,2024-01-29
BASI003168,2024-01-29
BASI003942,2024-01-29
BASI003090,2024-01-29
BASI003092,2024-01-29
BASI003094,2024-01-29
BASI002938,2024-01-29
BASI004053,2024-01-29
BASI002569,2024-01-29
BASI003095,2024-01-29
BASI003248,2024-01-29
BASI003265,2024-01-29
BASI003289,2024-01-29
BASI003332,2024-01-29
BASI003057,2024-01-29
BASI002313,2024-01-29
BASI003311,2024-01-29
BASI002708,2024-01-29
BASI002864,2024-01-29
BASI003320,2024-01-29
BASI003374,2024-01-29
BASI002633,2024-01-29
BASI002959,2024-01-29
BASI003308,2024-01-29
BASI003334,2024-01-29
BASI002322,2024-01-29
BASI002323,2024-01-29
BASI002900,2024-01-29
BASI003011,2024-01-29
BASI002608,2024-01-29
BASI002960,2024-01-29
BASI003379,2024-01-29
BASI002570,2024-01-29
BASI002585,2024-01-29
BASI002639,2024-01-29
BASI002882,2024-01-29
BASI002901,2024-01-29
BASI003938,2024-01-29
BASI002327,2024-01-29
BASI002571,2024-01-29
BASI002612,2024-01-29
BASI002865,2024-01-29
BASI002919,2024-01-29
BASI003012,2024-01-29
BASI003944,2024-01-29
BASI003105,2024-01-29
BASI003111,2024-01-29
BASI003115,2024-01-30
BASI003123,2024-01-29
BASI002328,2024-01-29
BASI002629,2024-01-29
BASI002731,2024-01-29
BASI002741,2024-01-29
BASI002866,2024-01-29
BASI003036,2024-01-29
BASI003124,2024-01-29
BASI003321,2024-01-29
BASI002330,2024-01-29
BASI002331,2024-01-29
BASI002332,2024-01-29
BASI002333,2024-01-29
BASI002334,2024-01-29
BASI002337,2024-01-29
BASI002338,2024-01-29
BASI002339,2024-01-29
BASI002340,2024-01-29
BASI002341,2024-01-29
BASI002342,2024-01-29
BASI002343,2024-01-29
BASI002346,2024-01-29
BASI002347,2024-01-29
BASI002349,2024-01-29
BASI002351,2024-01-29
BASI002557,2024-01-29
BASI002352,2024-01-29
BASI002353,2024-01-29
BASI002354,2024-01-29
BASI002355,2024-01-29
BASI002357,2024-01-29
BASI002359,2024-01-29
BASI002360,2024-01-29
BASI002361,2024-01-29
BASI002362,2024-01-29
BASI003314,2024-01-29
BASI003059,2024-01-29
BASI003300,2024-01-29
BASI002586,2024-01-29
BASI002666,2024-01-29
BASI002685,2024-01-29
BASI002725,2024-01-29
BASI002902,2024-01-29
BASI003060,2024-01-29
BASI002364,2024-01-29
BASI002365,2024-01-29
BASI002755,2024-01-29
BASI002836,2024-01-29
BASI002366,2024-01-29
BASI002369,2024-01-29
BASI002370,2024-01-29
BASI002903,2024-01-29
BASI003297,2024-01-29
BASI002609,2024-01-29
BASI002921,2024-01-29
BASI002374,2024-01-29
BASI002378,2024-01-29
BASI002715,2024-01-29
BASI002384,2024-01-29
BASI002386,2024-01-29
BASI002387,2024-01-29
BASI002853,2024-01-29
BASI002867,2024-01-29
BASI002388,2024-01-29
BASI004097,2024-01-29
BASI002390,2024-01-29
BASI003288,2024-01-29
BASI003382,2024-01-29
BASI002641,2024-01-29
BASI002667,2024-01-29
BASI002668,2024-01-29
BASI002686,2024-01-29
BASI002687,2024-01-29
BASI002732,2024-01-29
BASI002854,2024-01-29
BASI002855,2024-01-29
BASI002885,2024-01-29
BASI002886,2024-01-29
BASI002904,2024-01-29
BASI002965,2024-01-29
BASI002966,2024-01-29
BASI002392,2024-01-29
BASI002395,2024-01-29
BASI002397,2024-01-29
BASI002399,2024-01-29
BASI002402,2024-01-29
BASI002404,2024-01-29
BASI002615,2024-01-29
BASI002698,2024-01-29
BASI003039,2024-01-29
BASI003040,2024-01-29
BASI002409,2024-01-29
BASI002410,2024-01-29
BASI002411,2024-01-29
BASI002412,2024-01-29
BASI002413,2024-01-29
BASI003383,2024-01-29
BASI003828,2024-01-29
BASI003959,2024-01-29
BASI003960,2024-01-29
BASI004095,2024-01-29
BASI004096,2024-01-29
BASI004098,2024-01-29
BASI002968,2024-01-29
BASI003014,2024-01-29
BASI002415,2024-01-29
BASI002416,2024-01-29
BASI002417,2024-01-29
BASI002905,2024-01-29
BASI003340,2024-01-29
BASI003341,2024-01-29
BASI002630,2024-01-29
BASI002634,2024-01-29
BASI002733,2024-01-29
BASI002734,2024-01-29
BASI002423,2024-01-29
BASI002425,2024-01-29
BASI002434,2024-01-29
BASI002435,2024-01-29
BASI002658,2024-01-29
BASI002887,2024-01-29
BASI002437,2024-01-29
BASI002438,2024-01-29
BASI003939,2024-01-29
