old_circuit_id,active_jan_24,active_jun_23,base_sp,vdp_plan_old_circuit,old_circuit_plan
SPSI000313,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000150,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000024,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000192,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000374,GESAC 10Mbps,GESAC 10Mbps,GESAC 10Mbps,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000375,GESAC 10Mbps,GESAC 10Mbps,GESAC 10Mbps,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000376,GESAC 10Mbps,GESAC 10Mbps,GESAC 10Mbps,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000377,GESAC 10Mbps,GESAC 10Mbps,GESAC 10Mbps,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000018,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000019,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000020,GESAC 10Mbps,GESAC 10Mbps,Telebras Plan 1 - 10 Mbps,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000022,GESAC 10Mbps,GESAC 10Mbps,Telebras Plan 1 - 10 Mbps,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000255,GESAC 10Mbps,GESAC 10Mbps,Telebras Plan 1 - 10 Mbps,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000143,GESAC 10Mbps,GESAC 10Mbps,Telebras Plan 1 - 10 Mbps,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000176,GESAC 10Mbps,GESAC 10Mbps,Telebras Plan 1 - 10 Mbps,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000267,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000078,GESAC 10Mbps,GESAC 10Mbps,Telebras Plan 1 - 10 Mbps,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000188,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000186,GESAC 10Mbps,GESAC 10Mbps,Telebras Plan 1 - 10 Mbps,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000256,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000135,GESAC 10Mbps,GESAC 10Mbps,Telebras Plan 1 - 10 Mbps,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000147,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000131,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000014,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000194,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000195,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000233,,,Telebras Plan 1 - 10 Mbps,0001-GESAC 10Mbps,Telebras Plan 1 - 10 Mbps
SPSI000124,GESAC 10Mbps,GESAC 10Mbps,Telebras Plan 1 - 10 Mbps,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000337,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000340,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000341,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000012,GESAC 10Mbps,GESAC 10Mbps,Telebras Plan 1 - 10 Mbps,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000318,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000319,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000320,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000322,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000330,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000323,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000329,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000327,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000325,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000324,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000328,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000247,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000249,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000074,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000309,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000310,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000343,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000394,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000395,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000396,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000235,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000260,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000204,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000052,GESAC 10Mbps,GESAC 10Mbps,Telebras Plan 1 - 10 Mbps,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000301,GESAC 10Mbps,GESAC 10Mbps,GESAC 10Mbps/50GB,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000298,GESAC 10Mbps,GESAC 10Mbps,Telebras Plan 1 - 10 Mbps,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000153,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000098,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000072,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000066,GESAC 10Mbps,GESAC 10Mbps,Telebras Plan 1 - 10 Mbps,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000266,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000118,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000264,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000180,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000398,GESAC 10Mbps,GESAC 10Mbps,GESAC 10Mbps,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000041,GESAC 10Mbps,GESAC 10Mbps,Telebras Plan 1 - 10 Mbps,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000312,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000068,GESAC 10Mbps,GESAC 10Mbps,Telebras Plan 1 - 10 Mbps,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000090,GESAC 10Mbps,GESAC 10Mbps,Telebras Plan 1 - 10 Mbps,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000243,GESAC 10Mbps,GESAC 10Mbps,Telebras Plan 1 - 10 Mbps,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000008,GESAC 10Mbps,GESAC 10Mbps,Telebras Plan 1 - 10 Mbps,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000271,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000296,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000263,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000297,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000007,GESAC 10Mbps,GESAC 10Mbps,Telebras Plan 1 - 10 Mbps,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000005,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000004,GESAC 10Mbps,GESAC 10Mbps,Telebras Plan 1 - 10 Mbps,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000065,GESAC 10Mbps,GESAC 10Mbps,Telebras Plan 1 - 10 Mbps,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000389,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000168,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000237,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000241,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
SPSI000272,GESAC 10Mbps,GESAC 10Mbps,,0001-GESAC 10Mbps,GESAC 10Mbps
